Year (2010-2018),country,gini_index_reported,palma,ratio_top20bottom20,bottom40,region_un,OECD=Countries the support the free market,incomegroup,reference_period, gdp_ppp_pc_usd2011 , population 
2008,Afghanistan,29,,4.33,22,Asia,Non-OECD,Low income,Year,1268," 27,722,282.00 "
2012,Afghanistan,33,,4.11,23,Asia,Non-OECD,Low income,Year," $1,773.00 "," 31,161,378.00 "
2017,Afghanistan,31,,4.44,22,Asia,Non-OECD,Low income,Year," $1,758.00 "," 36,296,108.00 "
1996,Albania,27.01,0.93,3.95,22.85,Europe,Non-OECD,Upper middle income,Year,4635," 3,098,699.00 "
2002,Albania,31.74,1.22,4.83,20.93,Europe,Non-OECD,Upper middle income,Year,6088," 3,126,183.00 "
2005,Albania,30.6,1.14,4.66,21.3,Europe,Non-OECD,Upper middle income,Year,7245," 3,086,810.00 "
2008,Albania,29.98,1.11,4.4,21.94,Europe,Non-OECD,Upper middle income,Year,8986," 3,002,683.00 "
2012,Albania,28.96,1.04,4.27,22.02,Europe,Non-OECD,Upper middle income,Year," $10,321.00 "," 2,914,091.00 "
1988,Algeria,40.19,1.9,7.21,17.28,Africa,Non-OECD,Upper middle income,Year,," 24,443,472.00 "
1995,Algeria,35.33,1.45,6.11,18.52,Africa,Non-OECD,Upper middle income,Year,9343," 28,757,788.00 "
2012,Algeria,27.62,0.99,3.98,23.02,Africa,Non-OECD,Upper middle income,Year," $13,226.00 "," 37,383,900.00 "
2001,Andorra,26.46,,,,Europe,Non-OECD,High income,,," 67,341.00 "
2002,Andorra,26.76,,,,Europe,Non-OECD,High income,,," 70,049.00 "
2003,Andorra,27.21,0.99,3.78,23.7,Europe,Non-OECD,High income,Year,," 73,182.00 "
2016,Andorra,27.96,1,3.91,23.1,Europe,Non-OECD,High income,,," 77,295.00 "
1995,Angola,45,,,,Africa,Non-OECD,Lower middle income,,3331," 14,268,994.00 "
2001,Angola,51.96,3.65,17.65,11.02,Africa,Non-OECD,Lower middle income,Year,3924," 16,945,754.00 "
