id,country,Year (2010-2018),gini_index,palma,ratio_top20bottom20,bottom40,region_un,oecd (Countries that support the free market),incomegroup, gdp_ppp_pc_usd2011 , population 
1,Afghanistan,2008,29,,4.33,22,Asia,Non-OECD,Low income,1268,27722282
2,Afghanistan,2012,33,,4.11,23,Asia,Non-OECD,Low income," $1,773.00 "," 31,161,378.00 "
3,Afghanistan,2017,31,,4.44,22,Asia,Non-OECD,Low income," $1,758.00 "," 36,296,108.00 "
4,Albania,1996,27.01,0.93,3.95,22.85,Europe,Non-OECD,Upper middle income,4635,3098699
5,Albania,2002,31.74,1.22,4.83,20.93,Europe,Non-OECD,Upper middle income,6088,3126183
6,Albania,2005,30.6,1.14,4.66,21.3,Europe,Non-OECD,Upper middle income,7245,3086810
7,Albania,2008,29.98,1.11,4.4,21.94,Europe,Non-OECD,Upper middle income,8986,3002683
8,Albania,2012,28.96,1.04,4.27,22.02,Europe,Non-OECD,Upper middle income," $10,321.00 "," 2,914,091.00 "
9,Algeria,1988,40.19,1.9,7.21,17.28,Africa,Non-OECD,Upper middle income,,24443472
10,Algeria,1995,35.33,1.45,6.11,18.52,Africa,Non-OECD,Upper middle income,9343,28757788
11,Algeria,2012,27.62,0.99,3.98,23.02,Africa,Non-OECD,Upper middle income," $13,226.00 "," 37,383,900.00 "
12,Andorra,2001,26.46,,,,Europe,Non-OECD,High income,,67341
13,Andorra,2002,26.76,,,,Europe,Non-OECD,High income,,70049
14,Andorra,2003,27.21,0.99,3.78,23.7,Europe,Non-OECD,High income,,73182
15,Andorra,2016,27.96,1,3.91,23.1,Europe,Non-OECD,High income,," 77,295.00 "
16,Angola,1995,45,,,,Africa,Non-OECD,Lower middle income,3331,14268994
17,Angola,2001,51.96,3.65,17.65,11.02,Africa,Non-OECD,Lower middle income,3924,16945754
18,Angola,2009,55,,19.67,10,Africa,Non-OECD,Lower middle income,6283,22549547
19,Angola,2009,43,,9.8,15,Africa,Non-OECD,Lower middle income,6283,22549547
