Country,Year (2010-2018),Gini_index,Palma,Ratio: [top20_bottom20],Bottom 40,Region,OECD, GDP_PPP [USD2011] , Population ,N/A
Afghanistan,2012,33,N/A,4.11,23,Asia,Non-OECD,"$1,773.00 ","31,161,378.00",N/A
Afghanistan,2017,31,N/A,4.44,22,Asia,Non-OECD,"$1,758.00 ","36,296,108.00",N/A
Albania,2012,28.96,1.04,4.27,22.02,Europe,Non-OECD,"$10,321.00 ","2,914,091.00",N/A
Algeria,2012,27.62,0.99,3.98,23.02,Africa,Non-OECD,"$13,226.00 ","37,383,900.00",N/A
Andorra,2016,27.96,1,3.91,23.1,Europe,Non-OECD,N/A,"77,295.00",N/A
Argentina,2010,42.91,2.18,10.26,14.21,Americas,Non-OECD,"$18,862.00 ","40,895,752.00",N/A
Argentina,2010,40.27,1.87,8.69,15.62,Americas,Non-OECD,"$18,862.00 ","40,895,752.00",N/A
Argentina,2010,41.2,1.93,8.17,16.1,Americas,Non-OECD,"$18,862.00 ","40,895,752.00",N/A
Argentina,2010,44.46,2.39,11.83,13.37,Americas,Non-OECD,"$18,862.00 ","40,895,752.00",N/A
Argentina,2011,42.23,2.1,9.79,14.57,Americas,Non-OECD,"$19,789.00 ","41,320,496.00",N/A
Argentina,2011,39.48,1.79,8.29,16.02,Americas,Non-OECD,"$19,789.00 ","41,320,496.00",N/A
Argentina,2011,40.6,1.84,8,16.7,Americas,Non-OECD,"$19,789.00 ","41,320,496.00",N/A
Argentina,2011,42.74,2.16,10.01,14.37,Americas,Non-OECD,"$19,789.00 ","41,320,496.00",N/A
Argentina,2012,41.19,1.97,9.31,14.9,Americas,Non-OECD,"$19,382.00 ","41,755,188.00",N/A
Argentina,2012,38.4,1.69,7.86,16.41,Americas,Non-OECD,"$19,382.00 ","41,755,188.00",N/A
Argentina,2012,38.9,1.71,7.31,16.8,Americas,Non-OECD,"$19,382.00 ","41,755,188.00",N/A
Argentina,2012,41.38,1.99,9.34,14.89,Americas,Non-OECD,"$19,382.00 ","41,755,188.00",N/A
Argentina,2013,40.87,1.95,9.07,15.04,Americas,Non-OECD,"$19,641.00 ","42,196,036.00",N/A
Argentina,2013,38.03,1.66,7.63,16.59,Americas,Non-OECD,"$19,641.00 ","42,196,036.00",N/A
Argentina,2013,38.9,1.7,7.29,16.8,Americas,Non-OECD,"$19,641.00 ","42,196,036.00",N/A
Argentina,2013,41.01,1.96,9.19,14.98,Americas,Non-OECD,"$19,641.00 ","42,196,036.00",N/A
Argentina,2014,41.32,1.98,9.08,14.9,Americas,Non-OECD,"$18,949.00 ","42,637,508.00",N/A
Argentina,2014,38.33,1.68,7.6,16.53,Americas,Non-OECD,"$18,949.00 ","42,637,508.00",N/A
Argentina,2014,39.1,1.75,7.25,16.8,Americas,Non-OECD,"$18,949.00 ","42,637,508.00",N/A
Argentina,2014,41.7,2.03,9.28,14.76,Americas,Non-OECD,"$18,949.00 ","42,637,508.00",N/A
Argentina,2015,40.53,1.9,8.74,15.24,Americas,Non-OECD,"$19,269.00 ","43,075,416.00",N/A
Argentina,2015,37.48,1.6,7.3,16.87,Americas,Non-OECD,"$19,269.00 ","43,075,416.00",N/A
Argentina,2016,42.35,2.11,9.5,14.66,Americas,Non-OECD,"$18,680.00 ","43,508,460.00",N/A
Argentina,2016,39.41,1.79,7.93,16.28,Americas,Non-OECD,"$18,680.00 ","43,508,460.00",N/A
Argentina,2016,39.3,1.78,7.45,17,Americas,Non-OECD,"$18,680.00 ","43,508,460.00",N/A
Argentina,2016,42.02,2.07,9.6,14.65,Americas,Non-OECD,"$18,680.00 ","43,508,460.00",N/A
Argentina,2017,40.56,1.91,8.73,15.34,Americas,Non-OECD,"$18,992.00 ","43,937,144.00",N/A
Argentina,2017,37.62,1.62,7.31,16.99,Americas,Non-OECD,"$18,992.00 ","43,937,144.00",N/A
